TF,Re,TL_OUT,TU_OUT,Tb,Tb_max,PL_in,PL_out,PU_in,PU_out,hi,wc,ho,Dhi,Dho,Dh_m,vin,del_PL,del_PU,del_p,Rth,T_mean,h_mean,f,Nu
0.96,500,296.1505731,294.390953,301.3915597,302.5,42838.30301,94.41703854,42837.75656,94.53792814,535.7142857,100,514.2857143,168.5393258,167.4418605,167.9905932,2.980932345,42743.88597,42743.21863,42743.5523,0.0935,294.2103815,139252.9154,0.040476577,38.9886331
0.96,600,295.8056601,294.189699,301.0318105,302.13,52320.6279,120.7553895,52320.25193,120.9183297,535.7142857,100,514.2857143,168.5393258,167.4418605,167.9905932,3.577118814,52199.87251,52199.3336,52199.60306,0.0898,294.0738398,143720.0634,0.03432716,40.23936449
0.94,10,374.3012831,368.2741374,401.237223,423.42,788.6380387,0.823060542,788.6380479,0.82306059,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,0.059522951,787.8149782,787.8149873,787.8149827,1.3027,332.2188551,14488.89667,1.870945673,4.05636917
0.94,50,311.0356618,306.3055708,314.4160047,317.41,3982.313313,5.018101987,3982.307398,5.018289641,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,0.297614754,3977.295211,3977.289108,3977.29216,0.2426,300.9103082,74042.83052,0.37781955,20.72932549
0.94,100,303.0734033,299.3975583,307.0358502,308.77,8045.787931,11.93700917,8045.77184,11.93903687,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,0.595229508,8033.850922,8033.832803,8033.841863,0.1562,297.1927404,101593.9086,0.190792026,28.44263494
0.94,200,298.8876053,296.1905844,303.7225044,305.01,16411.85456,29.28585123,16411.80462,29.2982122,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,1.190459017,16382.56871,16382.50641,16382.53756,0.1186,295.3445474,119360.8426,0.097265343,33.4167365
0.94,300,297.4049293,295.1762046,302.5312784,303.7,25106.28802,49.70109719,25106.14007,49.73452654,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,1.785688525,25056.58692,25056.40554,25056.49623,0.1055,294.7202835,128024.6649,0.066117249,35.84229466
0.94,400,296.6246101,294.6778201,301.8454122,302.97,34130.70081,72.46692081,34130.49308,72.51539755,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,2.380918033,34058.23389,34057.97768,34058.10578,0.0982,294.4006076,134321.8598,0.050551896,37.60528239
0.94,500,296.1331608,294.3796214,301.3713331,302.47,43486.73747,97.37774061,43486.19255,97.51459149,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,2.976147542,43389.35973,43388.67796,43389.01885,0.0932,294.2031955,139506.2513,0.041217036,39.05672528
0.94,600,295.790084,294.1800316,301.0124158,302.1,53167.70656,124.9986008,53167.31178,125.1578726,541.2371134,100,508.7628866,168.8102894,167.146486,167.9783877,3.57137705,53042.70796,53042.15391,53042.43094,0.0895,294.0675289,143990.8252,0.034991121,40.31224444
0.92,10,373.5886005,367.5535409,400.2512236,422.3,795.8967502,0.841577224,795.8967593,0.841577283,546.875,100,503.125,169.0821256,166.8393782,167.9607519,0.059427255,795.055173,795.055182,795.0551775,1.2915,331.8605354,14621.87362,1.894027071,4.093168147
0.92,50,310.8943038,306.1734487,314.2740762,317.26,4021.279689,5.145005219,4021.273168,5.145220192,546.875,100,503.125,169.0821256,166.8393782,167.9607519,0.297136274,4016.134684,4016.127948,4016.131316,0.2411,300.8419381,74448.31174,0.382698542,20.84065737
0.92,100,303.0023122,299.3367138,306.9761396,308.7,8130.382192,12.25871476,8130.370271,12.26032944,546.875,100,503.125,169.0821256,166.8393782,167.9607519,0.594272548,8118.123477,8118.109941,8118.116709,0.1555,297.1597565,101870.5152,0.193394537,28.51708055
0.92,200,298.8509247,296.1623531,303.6913131,304.97,16606.56025,30.11420418,16606.52586,30.12501637,546.875,100,503.125,169.0821256,166.8393782,167.9607519,1.188545095,16576.44604,16576.40084,16576.42344,0.1182,295.3283195,119574.4063,0.09872332,33.473012
0.92,300,297.3791951,295.1576955,302.5067962,303.67,25437.9871,51.16274634,25437.83404,51.19778486,546.875,100,503.125,169.0821256,166.8393782,167.9607519,1.782817643,25386.82435,25386.63626,25386.7303,0.1052,294.7092226,128245.0225,0.067197509,35.90021734
0.92,400,296.6040525,294.6638401,301.8235689,302.94,34623.49527,74.69561321,34623.28325,74.74746556,546.875,100,503.125,169.0821256,166.8393782,167.9607519,2.377090191,34548.79965,34548.53578,34548.66772,0.0979,294.3919732,134560.6015,0.051439914,37.66816634
0.92,500,296.1155703,294.3682463,301.3508499,302.45,44164.75046,100.6231953,44164.25581,100.7361652,546.875,100,503.125,169.0821256,166.8393782,167.9607519,2.971362739,44064.12727,44063.51964,44063.82345,0.093,294.1959542,139764.4397,0.04198857,39.12490065
0.92,600,295.7743558,294.1703336,300.9927535,302.07,54054.68716,129.2889762,54054.27607,129.4609009,546.875,100,503.125,169.0821256,166.8393782,167.9607519,3.565635286,53925.39819,53924.81517,53925.10668,0.0892,294.0611723,144267.227,0.03568432,40.38538654
0.9,10,372.8726969,366.8298029,399.2579062,421.18,803.4028544,0.860979668,803.4028532,0.860979799,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,0.059331559,802.5418748,802.5418734,802.5418741,1.2803,331.500625,14758.56146,1.917767136,4.130855708
0.9,50,310.7524116,306.0410044,314.1319261,317.1,4061.658022,5.278444574,4061.651087,5.27868399,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,0.296657794,4056.379577,4056.372403,4056.37599,0.2395,300.773354,74858.29997,0.387727286,20.9525052
0.9,100,302.9309202,299.2757664,306.9162129,308.63,8218.224508,12.59688215,8218.213928,12.59873211,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,0.593315587,8205.627626,8205.615196,8205.621411,0.1548,297.1266716,102149.8325,0.196082866,28.59128376
0.9,200,298.8140087,296.1340419,303.6598534,304.93,16810.06379,30.98551332,16810.031,30.99943808,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,1.186631174,16779.07828,16779.03156,16779.05492,0.1178,295.3120126,119791.4562,0.100238757,33.52909576
0.9,300,297.3532827,295.1391401,302.482065,303.64,25784.23189,52.71273745,25784.09641,52.75037975,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,1.779946761,25731.51916,25731.34603,25731.43259,0.1049,294.6981057,128469.3252,0.068320278,35.95799272
0.9,400,296.5833216,294.6498183,301.8014684,302.91,35138.72597,77.0654324,35138.52756,77.12345843,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,2.373262348,35061.66054,35061.4041,35061.53232,0.0976,294.383285,134803.8917,0.052364756,37.73100969
0.9,500,296.0978109,294.3568356,301.3301047,302.42,44874.56293,104.0503312,44874.10963,104.1518069,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,2.966577936,44770.5126,44769.95782,44770.23521,0.0927,294.1886616,140027.7204,0.042793473,39.19313612
0.9,600,295.758445,294.1605931,300.9728102,302.04,54984.21605,133.8557005,54983.76785,134.0205088,552.6315789,100,497.3684211,169.3548387,166.5198238,167.9373312,3.559893523,54850.36035,54849.74734,54850.05385,0.0889,294.0547595,144549.3883,0.036408495,40.45873083
0.88,10,372.153526,366.1029314,398.2572881,420.04,811.1700818,0.881340574,811.1691413,0.881355175,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,0.059235863,810.2887413,810.2877862,810.2882637,1.2689,331.1391144,14899.09431,1.942196973,4.169455464
0.88,50,310.6100049,305.9082707,313.9895757,316.95,4103.526805,5.418735793,4103.523538,5.419061955,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,0.296179313,4098.108069,4098.104476,4098.106272,0.238,300.7045689,75272.82577,0.392913483,21.06481697
0.88,100,302.859248,299.2147205,306.8560757,308.56,8309.528026,12.95369125,8309.518021,12.95583687,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,0.592358626,8296.574335,8296.562185,8296.56826,0.1541,297.0934921,102431.9015,0.198862189,28.66518209
0.88,200,298.7768985,296.105678,303.6281521,304.89,17022.26649,31.91037468,17022.23422,31.92484261,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,1.184717253,16990.35612,16990.30938,16990.33275,0.1174,295.2956441,120011.886,0.101811214,33.58487459
0.88,300,297.3271842,295.1205392,302.4570726,303.61,26146.12586,54.35623788,26145.97698,54.39824968,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,1.777075879,26091.76962,26091.57873,26091.67418,0.1046,294.6869309,128697.7801,0.069488536,36.01558937
0.88,400,296.5624031,294.6357526,301.7790929,302.88,35678.11083,79.59814527,35677.91827,79.65445031,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,2.369434506,35598.51269,35598.26382,35598.38825,0.0973,294.3745389,135052.0244,0.053329078,37.7938007
0.88,500,296.0798633,294.3453767,301.3090708,302.39,45618.63162,107.6805557,45618.15767,107.767729,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,2.961793132,45510.95107,45510.38994,45510.6705,0.0924,294.18131,140296.5143,0.043634193,39.26145146
